product_region	product_sector	activity_region	activity_sector	original_value_meur	balanced_value_meur	delta_meur	abs_delta_meur	pct_delta	objective_contribution
PL	NEW_RATV	PL	REU_OFMA	0.00011616069684667257	0.0	-0.00011616069684667257	0.00011616069684667257	-100.0	6.746653745952283e-9
DE	OTHER_SERVICES	DE	REP_OFMA	0.00011475883604895881	0.0	-0.00011475883604895881	0.00011475883604895881	-100.0	6.584795225655904e-9
IT	REF_ELMA	IT	REF_RATV	0.03236030184584267	0.032247817884445494	-0.0001124839613971737	0.0001124839613971737	-0.3475986161471004	6.326320785800432e-9
DE	REF_OFMA	DE	PUBLIC_SOCIAL	0.00011242043736107867	0.0	-0.00011242043736107867	0.00011242043736107867	-99.99999999999999	6.319177368228106e-9
DE	REU_ELMA	DE	EXTRACTIVE	0.011708752875501875	0.011809837285126487	0.00010108440962461156	0.00010108440962461156	0.8633234529708934	5.1090289345781304e-9
SK	REF_ELMA	SK	TRANSPORT	7.536657236347979	7.536559216893757	-9.801945422260872e-5	9.801945422260872e-5	-0.001300569352549006	4.803906703049043e-9
ROW	TRADE	ROW	REF_RATV	1361.1539300142063	1361.1538326167504	-9.739745587467041e-5	9.739745587467041e-5	-7.1555063484740395e-6	4.743132205429185e-9
DE	REP_OFMA	DE	NEW_ELMA	9.63169766077161e-5	0.0	-9.63169766077161e-5	9.63169766077161e-5	-100.00000000000001	4.638479991425666e-9
IT	REF_ELMA	IT	REF_OFMA	0.009293613406712475	0.00919846276028978	-9.515064642269533e-5	9.515064642269533e-5	-1.023828324448821	4.526822757328391e-9
IT	CONSTRUCTION	IT	REC_EE	1.4049586983371136	1.4048672933679673	-9.140496914628038e-5	9.140496914628038e-5	-0.006505883002430308	4.177434192316234e-9
ROW	REP_OFMA	ROW	EXTRACTIVE	9.059847083191149e-5	0.0	-9.059847083191149e-5	9.059847083191149e-5	-100.0	4.1040414585403585e-9
SK	REU_OFMA	SK	OTHER_MANUFACTURING	9.014456283618553e-5	0.0	-9.014456283618553e-5	9.014456283618553e-5	-100.0	4.063021104463501e-9
IT	CONSTRUCTION	IT	INC_EE	0.6495600089876528	0.6494744216847155	-8.558730293728445e-5	8.558730293728445e-5	-0.013176196464230197	3.6625932120392495e-9
PL	REF_ELMA	PL	EXTRACTIVE	1.0948875124675888	1.0949712445930975	8.373212550871756e-5	8.373212550871756e-5	0.0076475550734894536	3.505534421103815e-9
DE	UTIL_WASTE	DE	NEW_OFMA	8.139582203064602e-5	0.0	-8.139582203064602e-5	8.139582203064602e-5	-99.99999999999999	3.3126399220222997e-9
SK	TRANSPORT	SK	REU_OFMA	8.097934708939176e-5	0.0	-8.097934708939176e-5	8.097934708939176e-5	-100.0	3.2788273275120908e-9
PL	REU_ELMA	PL	REP_ELMA	0.010135222443831901	0.01021402823259726	7.880578876535808e-5	7.880578876535808e-5	0.7775437510334837	3.105176171465119e-9
SK	UTIL_WASTE	SK	REF_OFMA	7.709480800810489e-5	0.0	-7.709480800810489e-5	7.709480800810489e-5	-100.0	2.9718047109032768e-9
