activity_region	activity_sector	original_total_meur	target_meur	balanced_total_meur	delta_from_original_meur	target_residual_meur	sum_abs_cell_adjustment_meur
PL	OTHER_SERVICES	186324.85925190523	186324.85925190523	186324.85925190526	2.9103830456733704e-11	2.9103830456733704e-11	0.10604708589365337
PL	PUBLIC_SOCIAL	78864.59900000003	78864.59900000003	78864.599	-2.9103830456733704e-11	-2.9103830456733704e-11	0.042223996177730955
PL	REC_EE	17.45023008935791	17.45023008935791	17.45023008935791	0.0	0.0	0.10154417672178354
PL	REF_ELMA	1064.5434986711828	1064.5434986711828	1064.543498671183	2.2737367544323206e-13	2.2737367544323206e-13	0.10604708587993637
PL	REF_OFMA	30.437914098252588	30.437914098252588	30.437914098252588	0.0	0.0	0.1056561684451257
PL	REF_RATV	1158.166913993249	1158.166913993249	1158.1669139932496	6.821210263296962e-13	6.821210263296962e-13	0.10604708588004401
PL	REP_ELMA	15.54878739157217	15.54878739157217	15.548787391572166	-3.552713678800501e-15	-3.552713678800501e-15	0.03812059012492232
PL	REP_OFMA	0.03425956752125114	0.03425956752125114	0.034259567521246224	-4.912736883966318e-15	-4.912736883966318e-15	0.009261986191395483
PL	REP_RATV	1.3035813644374759	1.3035813644374759	1.3035813644374756	-2.220446049250313e-16	-2.220446049250313e-16	0.041007377598568734
PL	REU_ELMA	346.97330808110826	346.97330808110826	346.97330808110826	0.0	0.0	0.10430773844535614
PL	REU_OFMA	6.593792735657249	6.593792735657249	6.593792735657253	3.552713678800501e-15	3.552713678800501e-15	0.09125720652342688
PL	REU_RATV	250.894741325447	250.894741325447	250.89474132544706	5.684341886080802e-14	5.684341886080802e-14	0.10419045732256507
PL	TRADE	103238.77195086637	103238.77195086637	103238.77195086636	-1.4551915228366852e-11	-1.4551915228366852e-11	0.10604708588324811
PL	TRANSPORT	60836.997	60836.997	60836.996999999996	-7.275957614183426e-12	-7.275957614183426e-12	0.10187436743201625
PL	UTIL_WASTE	33675.12539778041	33675.12539778041	33675.12539778041	0.0	0.0	0.10187436743367585
REU	AGRI_FOOD	1.2279945219999996e6	1.2279945219999996e6	1.2279945219999996e6	0.0	0.0	0.5719984748167046
REU	BASIC_METALS	259986.87300000008	259986.87300000008	259986.8729999999	-1.7462298274040222e-10	-1.7462298274040222e-10	0.5719984747460207
REU	CONSTRUCTION	1.4311188160000003e6	1.4311188160000003e6	1.4311188160000008e6	4.656612873077393e-10	4.656612873077393e-10	0.5719984746343172
REU	EXTRACTIVE	307189.82000000007	307189.82000000007	307189.81999999995	-1.1641532182693481e-10	-1.1641532182693481e-10	0.5719984747527209
REU	INC_EE	368.0216296138016	368.0216296138016	368.02162961380157	-5.684341886080802e-14	-5.684341886080802e-14	0.5719984747365584
REU	METAL_COMPONENTS	268926.118	268926.118	268926.11799999996	-5.820766091346741e-11	-5.820766091346741e-11	0.5719984747449303
