product_region	product_sector	use_region	use_code	original_value_meur	balanced_value_meur	delta_meur	abs_delta_meur	pct_delta	objective_contribution
ROW	OTHER_SERVICES	IT	REU_ELMA	9.338881465923189	9.592495049506088	0.253613583582899	0.253613583582899	2.7156740826866055	0.032159924888880045
ROW	OTHER_SERVICES	FR	REC_EE	1.5514985373425905	1.8050923289401508	0.25359379159756035	0.25359379159756035	16.345087378033643	0.03215490556841343
ROW	OTHER_SERVICES	PL	REU_RATV	2.2192720977793883	2.4727918389773427	0.2535197411979544	0.2535197411979544	11.423553761236722	0.03213612958853889
ROW	OTHER_SERVICES	DE	REC_EE	4.771208559357796	5.02446739100495	0.25325883164715357	0.25325883164715357	5.308064581466172	0.03207001790364064
ROW	OTHER_SERVICES	FR	INC_EE	1.2939878446939475	1.5471338471188376	0.25314600242489016	0.25314600242489016	19.56324423470639	0.03204144927185125
ROW	OTHER_SERVICES	IT	P5M	138.15800000000002	138.4110419363583	0.2530419363582723	0.2530419363582723	0.1831540239133979	0.03201511077797197
ROW	OTHER_SERVICES	ROW	REC_EE	14.193791628115639	14.446601523452529	0.25280989533689	0.25280989533689	1.781130102235078	0.03195642159012464
ROW	OTHER_SERVICES	FR	REP_RATV	1.2013972600620073	1.4540458450346219	0.25264858497261455	0.25264858497261455	21.02956227481114	0.031915653744332216
ROW	OTHER_SERVICES	FR	REP_ELMA	1.1747447188779088	1.4273487013294757	0.2526039824515669	0.2526039824515669	21.50288300021888	0.03190438597519576
ROW	OTHER_SERVICES	PL	P51G	676.637	676.8895907636155	0.252590763615558	0.252590763615558	0.037330320927699494	0.03190104693194535
