instrument,wedge_percent,family,route,valid_parameter_configurations,median_change_tonnes,lower_quartile_change_tonnes,upper_quartile_change_tonnes,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
repair_support,2.0,OFMA,REC,729,0.007030868214703737,0.0022073438195756856,0.019225490443840226,0.0006257438745042993,0.0001964525335769802,0.0017110593616894993
repair_support,2.0,OFMA,REP,729,2414.9018318723715,1201.636917708036,4878.546304295413,2.6799836127390977,1.3335396103546677,5.414060305450786
repair_support,2.0,OFMA,REU,729,-0.0005978399569515069,-0.0014815316092642306,-6.104958765285051e-5,-0.0016878507535641085,-0.004182731873387499,-0.00017235815593536852
repair_support,2.0,RATV,INC,729,-0.00909951793886421,-0.012689273911973942,-0.0069626278882992665,-2.526935126871729e-5,-3.523809964230512e-5,-1.933520995781038e-5
repair_support,2.0,RATV,REC,729,0.1486898271116388,0.043160313037546416,0.3934551278130556,0.0010489846636281366,0.0003044896031776461,0.0027757675351378287
repair_support,2.0,RATV,REP,729,25532.013642792095,12723.938555967354,51538.39596899941,0.9423999114482826,0.469647194153141,1.9023090178820747
repair_support,2.0,RATV,REU,729,-0.0005352633076629587,-0.027257462799888277,0.011928447901083938,-4.117666801356598e-5,-0.0020968586498177305,0.0009176301310183033
reuse_support,0.25,ELMA,INC,729,-0.10636611973484378,-0.14780255519450236,-0.08059049861468282,-6.951155411743788e-5,-9.659076912563789e-5,-5.266687193037384e-5
reuse_support,0.25,ELMA,REC,729,-0.00796454034409777,-0.02455826887325685,0.23019669704488877,-1.4328822911023618e-5,-4.418222150723042e-5,0.0004141416282865745
reuse_support,0.25,ELMA,REP,729,-3.086748943091152,-206.23353127770497,95.87962688464086,-0.0001386635305665097,-0.009264462415115438,0.004307123066481063
reuse_support,0.25,ELMA,REU,729,0.2965746340210058,0.1599863335679621,0.569383025876057,0.14126882546426583,0.07620706169995463,0.27121696220015606
reuse_support,0.25,OFMA,INC,729,-0.0018974738449613893,-0.0025668426573219882,-0.0015089244139690483,-7.118428782796603e-5,-9.629585515136712e-5,-5.660774196168345e-5
reuse_support,0.25,OFMA,REC,729,-0.00024587865959982413,-0.0005390112904273825,0.0044656632773246024,-2.1883081920687207e-5,-4.797174445230371e-5,0.0003974418743251059
reuse_support,0.25,OFMA,REP,729,-3.6853151462434055,-6.791922162506987,-2.1403664633377684,-0.004089849148051621,-0.007537465852351142,-0.0023753127233971617
reuse_support,0.25,OFMA,REU,729,0.23243243676279313,0.1190719717507237,0.4557545477876379,0.6562145252774468,0.33616976401616655,1.2867083372047523
reuse_support,0.25,RATV,INC,729,-0.03276030580190081,-0.04225318456181526,-0.022350182541543973,-9.097533303859365e-5,-0.00011733704687302618,-6.206643223923592e-5
reuse_support,0.25,RATV,REC,729,0.00361161758907258,-0.00455880981064638,0.05144465278502253,2.547942610076659e-5,-3.2161726653801576e-5,0.00036293439064022566
reuse_support,0.25,RATV,REP,729,-3.717310908541549,-244.5729259474465,113.90764321196184,-0.0001372078802732534,-0.009027313982365389,0.004204390393099302
reuse_support,0.25,RATV,REU,729,1.4827437641455088,0.8161971682260085,2.816529158556013,0.11406432470026355,0.06278831249687913,0.21666959877887962
reuse_support,0.5,ELMA,INC,729,-0.23697081919051755,-0.3241023157240761,-0.17125181681240065,-0.00015486331515597465,-0.00021180480885457154,-0.00011191514705753809
reuse_support,0.5,ELMA,REC,729,0.7673230477856521,0.04653072570483374,2.81702891436548,0.0013804733973650334,8.37123675366987e-5,0.005068052480779872
reuse_support,0.5,ELMA,REP,729,-8.314969660777024,-413.9336703234694,192.43390399107102,-0.00037352666866458144,-0.018594808066873938,0.008644552900171092
