instrument,wedge_percent,indicator,material,valid_parameter_configurations,median_change_tonnes,lower_quartile_change_tonnes,upper_quartile_change_tonnes,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
virgin_metal_tax,1.0,observed_route_input_mass,all,729,-95.16716322583245,-495.054390258582,666.0591720865488,-0.0017991517576499726,-0.009359089271711054,0.01259196438707252
virgin_metal_tax,1.0,primary_metal_output,primary,729,-427.64691565092653,-1563.3760723806918,-77.10113789932802,-9.6932080945403e-5,-0.00035436078327713083,-1.7476037979754223e-5
virgin_metal_tax,1.0,recycled_metal_output,recycled,729,381.13790694294573,194.54397668743263,742.2927413923503,0.053333547346600216,0.027223008267151197,0.1038708151238948
virgin_metal_tax,2.0,ce_route_metal_demand,primary,719,-1643.480429797804,-4329.998313095684,1562.4704369428187,-0.006468827627366072,-0.017043106937187306,0.006149967925501801
virgin_metal_tax,2.0,ce_route_metal_demand,recycled,719,764.5197631178073,385.76857053794265,1536.1836624013981,1.9700204262736112,0.9940514296374887,3.9584499177462393
virgin_metal_tax,2.0,observed_new_product_output,all,719,-106054.37934148921,-246400.11565594253,-27655.925151559397,-0.06225956512374178,-0.14464998185301006,-0.016235499973901054
virgin_metal_tax,2.0,observed_recycled_metal_output,recycled,719,26.923787303317983,13.79140006906469,52.5655320733249,0.15193518736354908,0.07782705047799321,0.2966356060769225
virgin_metal_tax,2.0,observed_route_input_mass,all,719,-164.942611429071,-979.6034973545352,1397.5674109592283,-0.0031182687305681615,-0.018519574339766243,0.02642125475459262
virgin_metal_tax,2.0,primary_metal_output,primary,719,-778.5201973109506,-3611.3246024935506,-153.44269769708626,-0.00017646235719603437,-0.0008185566079816335,-3.47799070899782e-5
virgin_metal_tax,2.0,recycled_metal_output,recycled,719,757.3448070117593,388.1140436776841,1531.3848284998007,0.10597708699860395,0.054309735000540885,0.21429037566178755
