instrument,wedge_percent,region,outcome,factor,valid_parameter_configurations,median_absolute_change,lower_quartile_absolute_change,upper_quartile_absolute_change,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
refurbishment_support,0.25,FR,Household consumption,,729,1.2429374577477574,0.06502248020842671,1.949193540494889,0.00011463132621883541,5.9967724794208895e-6,0.00017976659984828133
refurbishment_support,0.25,FR,Household disposable income,,729,-0.8340034743305296,-2.9448983322363347,0.41271574050188065,-4.3146543985455785e-5,-0.00015235210563816027,2.1351539171079592e-5
refurbishment_support,0.25,FR,Household utility,,729,-0.2629268840246368,-0.4654631980811246,-0.16085575459874235,-0.00013424526837462215,-0.0002376563057699925,-8.212976784712159e-5
refurbishment_support,0.25,IT,Factor income,FAC_IT_CAP,729,0.35977337090298533,-0.054348409990780056,0.45759148872457445,4.347211525626257e-5,-6.567023949250486e-6,5.529166844112592e-5
refurbishment_support,0.25,IT,Factor income,FAC_IT_LAB,729,0.11733620543964207,-0.13098627631552517,0.23805377585813403,1.763850227060321e-5,-1.9690441868000187e-5,3.578530642163711e-5
refurbishment_support,0.25,IT,Household consumption,,729,1.6534157298738137,1.2603855853667483,1.7833280164049938,0.0001814765776269614,0.00013833814350644973,0.0001957355668967599
refurbishment_support,0.25,IT,Household disposable income,,729,-3.0215152706950903,-3.652108159614727,-2.80767720611766,-0.0002024027206152619,-0.0002446443460494667,-0.00018807831641143785
refurbishment_support,0.25,IT,Household utility,,729,-0.20759296364849433,-0.2459149719798006,-0.16959497681818902,-0.00013362621188833145,-0.00015829383412015408,-0.00010916716014458402
refurbishment_support,0.25,PL,Factor income,FAC_PL_CAP,729,0.10639190740766935,-0.09678862628061324,0.14637723015039228,5.0053329156075345e-5,-4.553535215096397e-5,6.886489640247719e-5
refurbishment_support,0.25,PL,Factor income,FAC_PL_LAB,729,0.05725564161548391,-0.10821219350327738,0.08766556979389861,3.465816470875769e-5,-6.550334465168321e-5,5.3065997892495816e-5
refurbishment_support,0.25,PL,Household consumption,,729,0.4387680644867942,0.20260403063730337,0.4841193461616058,0.00019624339887600823,9.06166761383435e-5,0.00021652721253770846
refurbishment_support,0.25,PL,Household disposable income,,729,-0.7017619902617298,-1.098000375146512,-0.6263869179529138,-0.00018577019098001203,-0.0002906622789815152,-0.00016581692794935364
refurbishment_support,0.25,PL,Household utility,,729,-0.044869612636830425,-0.06580215962094371,-0.03055988378037,-0.00013934477015589098,-0.0002043518156119698,-9.490520936369751e-5
refurbishment_support,0.25,REU,Factor income,FAC_REU_CAP,729,-0.476465723477304,-3.273202077485621,1.379573824815452,-1.0774178113909322e-5,-7.401594794495126e-5,3.119589380265879e-5
refurbishment_support,0.25,REU,Factor income,FAC_REU_LAB,729,1.1330402810126543,-0.3667461322620511,1.8791820807382464,2.368316912944199e-5,-7.665844563184648e-6,3.927926287336441e-5
refurbishment_support,0.25,REU,Household consumption,,729,12.55923207104206,10.540156313218176,13.994498045183718,0.00024167544970816055,0.00020282267280076645,0.00026929406108346733
refurbishment_support,0.25,REU,Household disposable income,,729,-27.833613697439432,-31.46395294740796,-25.524405447766185,-0.00030232728206879396,-0.0003417598405071567,-0.0002772447806947168
refurbishment_support,0.25,REU,Household utility,,729,-1.2749988270225003,-1.5835799566702917,-1.0884986793389544,-0.00014204165611788247,-0.00017641923653045313,-0.00012126454693021021
refurbishment_support,0.25,SK,Factor income,FAC_SK_CAP,729,-0.17629439375014044,-0.664652525454585,-0.09600679286813829,-0.0004241001369522606,-0.0015989120302088346,-0.00023095739544727446
refurbishment_support,0.25,SK,Factor income,FAC_SK_LAB,729,-0.18150878386950353,-2.112841491420113,-0.1059599041036563,-0.0005671361000929494,-0.006601711818790315,-0.00033107867049680776
refurbishment_support,0.25,SK,Household consumption,,729,-0.002018224164203275,-1.4008773270761594,0.09503143388428725,-5.2024111915782855e-6,-0.0036110656149287465,0.00024496416402382655
refurbishment_support,0.25,SK,Household disposable income,,729,-0.8527790804801043,-3.4997376490937313,-0.6637422086496372,-0.0011590845938363296,-0.004756791161005164,-0.0009021485003027172
refurbishment_support,0.25,SK,Household utility,,729,-0.02378076570767007,-0.25025458342952334,-0.013866863008843211,-0.0003771761385601974,-0.003969176543660409,-0.0002199361411598842
