instrument,wedge_percent,parameter,value,valid_parameter_configurations,median_reduction_percent,lower_quartile_reduction_percent,upper_quartile_reduction_percent,minimum_reduction_percent,maximum_reduction_percent,median_reduction_tonnes,lower_quartile_reduction_tonnes,upper_quartile_reduction_tonnes
refurbishment_support,0.5,CET transformation elasticity,2.0,243,-5.438925167882271e-6,-2.694085472707558e-5,0.00019448317187591944,-0.00010673929552534315,0.0005650065488441016,-27.630221903324127,-136.86192977428436,987.9917501211166
refurbishment_support,0.5,Circular-service elasticity,0.5,243,-3.0440734723893057e-5,-4.4120435318964176e-5,-1.5052595903431455e-5,-0.0032266418874151897,0.018710751049461356,-154.64163035154343,-224.1357218027115,-76.468521296978
refurbishment_support,0.5,Circular-service elasticity,1.0,243,5.293403156634269e-5,3.265103415256626e-6,0.00011885676733295381,-3.1661195056460554e-5,0.0007676495040937537,268.9095718860626,16.587014734745026,603.8029122948647
refurbishment_support,0.5,Circular-service elasticity,2.0,243,0.0003029361505561549,0.00024330544004176824,0.00040031790136972275,0.000128728994423403,0.0024647772018540357,1538.9424939751625,1236.0131995081902,2033.6504190266132
refurbishment_support,0.5,Metal-substitution elasticity,0.5,243,6.782589055659809e-5,-1.8582554777322747e-5,0.0002785388658636055,-0.0032266418874151897,0.0017553478505160094,344.5615354180336,-94.40102523565292,1415.0021254122257
refurbishment_support,0.5,Metal-substitution elasticity,1.0,243,6.360689440442403e-5,-1.910622931017396e-5,0.00026925674531340577,-0.0001116197926183285,0.0011480436973773187,323.1286610364914,-97.061338275671,1367.8481303453445
refurbishment_support,0.5,Metal-substitution elasticity,2.0,243,7.957941103152895e-5,-1.9113293968238608e-5,0.00025989980818294815,-0.00010466550757049353,0.018710751049461356,404.27046114206314,-97.09722736477852,1320.314060419798
refurbishment_support,0.5,Post-use activity productivity elasticity,0.5,243,5.402817659553839e-5,-2.3802953963858496e-5,0.0002479565848508293,-0.00010673929552534315,0.0024647772018540357,274.4679256081581,-120.92111578583717,1259.6414273679256
refurbishment_support,0.5,Post-use activity productivity elasticity,1.0,243,7.393917617824422e-5,-1.2009392502877718e-5,0.0002914804933591931,-0.0032266418874151897,0.018710751049461356,375.6175681948662,-61.00877830386162,1480.746740102768
refurbishment_support,0.5,Post-use activity productivity elasticity,2.0,243,8.232586044407673e-5,-1.5548440339863094e-5,0.00026684049590029323,-0.0001116197926183285,0.0010166767155117954,418.2226675748825,-78.9874549806118,1355.5733691751957
refurbishment_support,0.5,Post-use allocation elasticity,0.5,243,6.189900585802805e-5,-2.2181671684627172e-5,0.00023090788826662245,-0.0001116197926183285,0.00061959058069209,314.4524358510971,-112.6848581135273,1173.0325376987457
refurbishment_support,0.5,Post-use allocation elasticity,1.0,243,6.360689440442403e-5,-1.7781829512821874e-5,0.0002779221681723443,-7.18429483930606e-5,0.0010166767155117954,323.1286610364914,-90.3332699239254,1411.8692464828491
refurbishment_support,0.5,Post-use allocation elasticity,2.0,243,8.012022696862828e-5,-1.4399909309145481e-5,0.0003054803047705376,-0.0032266418874151897,0.018710751049461356,407.01785403490067,-73.15281555056572,1551.8670228719711
refurbishment_support,1.0,Armington elasticity,0.5,243,0.00015224088187379235,-2.378807717980501e-5,0.0005712940449850148,-0.00031347381566364425,0.01868513397001961,773.3971729874611,-120.84554040431976,2902.224382162094
refurbishment_support,1.0,Armington elasticity,1.0,243,0.00015517220979489968,-2.87064371049362e-5,0.0005365083072190318,-0.0034149565369556703,0.005779982392096258,788.2885786294937,-145.83124473690987,2725.5097512602806
refurbishment_support,1.0,Armington elasticity,2.0,243,0.00027233003045975206,1.496044411921556e-5,0.0006220916701286559,-0.002979291717014641,0.015528303342454131,1383.4606912732124,76.00038206577301,3160.2808200716972
refurbishment_support,1.0,CET transformation elasticity,0.5,243,0.0003980140085533015,0.00014206442111196877,0.0008215918885276117,-0.00031347381566364425,0.015528303342454131,2021.9464393258095,721.6998503804207,4173.759611189365
refurbishment_support,1.0,CET transformation elasticity,1.0,243,0.00014864147317281788,-2.1572955778430626e-5,0.0005839051789862015,-0.002979291717014641,0.01868513397001961,755.1118577718735,-109.59252735972404,2966.290060609579
refurbishment_support,1.0,CET transformation elasticity,2.0,243,1.6749095409432567e-5,-4.4727116102310356e-5,0.0004354597237077157,-0.0034149565369556703,0.010931992517571714,85.08688914775848,-227.2177139520645,2212.173991113901
refurbishment_support,1.0,Circular-service elasticity,0.5,243,-5.030724299627325e-5,-8.035179618986793e-5,1.4607271277171717e-5,-0.0034149565369556703,0.01868513397001961,-255.56525313854218,-408.1942462027073,74.20623272657394
refurbishment_support,1.0,Circular-service elasticity,1.0,243,0.00013289840923472605,2.296856195512924e-5,0.000294353054894865,-0.0002052062533323665,0.015528303342454131,675.1356976628304,116.68233042955399,1495.3396072983742
refurbishment_support,1.0,Circular-service elasticity,2.0,243,0.0006601075314208138,0.0005108095125373477,0.0009007103874755679,0.00024083501681245,0.0063504410690809615,3353.4047647714615,2594.9575966000557,4575.688598096371
