instrument,wedge_percent,region,activity_group,valid_parameter_configurations,median_output_change_percent,lower_quartile_output_change_percent,upper_quartile_output_change_percent
refurbishment_support,2.0,PL,Basic metals,729,-0.003488965890888063,-0.00977936155744498,1.0454339072790309e-5
refurbishment_support,2.0,PL,Metal components,729,0.0010951897256404775,-0.0014657503444707816,0.00592919798990446
refurbishment_support,2.0,PL,Other manufacturing,729,-0.01195569616392541,-0.024784643624043833,-0.00505726942892132
refurbishment_support,2.0,PL,Other services,729,-0.002089608872502131,-0.0057020137326120775,-0.001645402060657202
refurbishment_support,2.0,PL,Trade,729,-0.0012204315797516789,-0.0060665858753655285,-0.00032499974783613945
refurbishment_support,2.0,REU,Basic metals,729,-0.00021487670297527233,-0.00045954916296775806,-9.654146103654791e-5
refurbishment_support,2.0,REU,Metal components,729,3.6676974779492834e-5,-0.0001702984400386868,0.0004489881529234914
refurbishment_support,2.0,REU,Other manufacturing,729,-0.0006572514745006864,-0.0011858318901825093,-0.00034153760485322593
refurbishment_support,2.0,REU,Other services,729,-0.002637589935450269,-0.002887434569776026,-0.0024014856356835423
refurbishment_support,2.0,REU,Trade,729,-0.0019772266625417427,-0.002953361762181307,-0.0014297279375741214
refurbishment_support,2.0,SK,Basic metals,729,-0.009549942063724321,-0.027278317700730945,0.0003611262031518751
refurbishment_support,2.0,SK,Metal components,729,0.0005886493428662418,-0.008185510767507193,0.018565980583794668
refurbishment_support,2.0,SK,Other manufacturing,729,0.029927745957362122,-0.003971679295859753,0.08839927498672843
refurbishment_support,2.0,SK,Other services,729,-0.08486212803157298,-0.19282102965458944,-0.02388013288686758
refurbishment_support,2.0,SK,Trade,729,-0.028771173785928406,-0.10198372881826663,0.031833972912497385
repair_support,0.25,DE,Basic metals,729,-9.318978921869546e-9,-1.6904611044312591e-7,8.507066162623615e-8
repair_support,0.25,DE,Metal components,729,-3.5532854436580684e-8,-5.365091926279149e-7,1.333999799513056e-7
