instrument,wedge_percent,route,valid_parameter_configurations,median_change_tonnes,lower_quartile_change_tonnes,upper_quartile_change_tonnes,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
virgin_metal_tax,0.5,REC,729,25.60686203165477,13.265998998576869,50.41660310023128,0.03612589247803928,0.01871553229926919,0.07112721505881592
virgin_metal_tax,0.5,REP,729,-16.967002366321584,-252.75042870651964,358.73489061221807,-0.00033762258022485464,-0.005029424175847136,0.007138385247448752
virgin_metal_tax,0.5,REU,729,0.005111813344097826,-0.04146405375177098,0.0994365888889025,0.00033080271801268744,-0.0026832790553174613,0.0064348777351854805
virgin_metal_tax,1.0,INC,729,-1.071361652971471,-3.7492881161661926,0.21534702647976858,-0.0005588886368148025,-0.001955861046975387,0.00011233835534209096
virgin_metal_tax,1.0,REC,729,53.85969733610516,27.740617745324993,102.68996612377673,0.07598469630752082,0.039136172667433924,0.14487392755016615
virgin_metal_tax,1.0,REP,729,-187.37866625379988,-585.0807483128999,521.7319182430701,-0.003728606115201196,-0.011642390778313753,0.010381826596107025
virgin_metal_tax,1.0,REU,729,0.0037865636408177528,-0.08523037983199055,0.18595144591312862,0.00024504133073575675,-0.005515545934052917,0.012033546529525822
virgin_metal_tax,2.0,INC,719,-1.5722457952894953,-5.735818480288067,0.634793001846937,-0.0008201808482037859,-0.002992158401949742,0.000331147371644128
virgin_metal_tax,2.0,REC,719,107.69510635420556,55.16550720775824,210.2618791177263,0.15193512691065242,0.0778269191836306,0.29663525455979534
virgin_metal_tax,2.0,REP,719,-357.57707989947255,-1164.3705324422272,1086.2299420861154,-0.007115346231374524,-0.02316954845725997,0.021614646349820507
virgin_metal_tax,2.0,REU,719,-0.008743783903530922,-0.18171766524060962,0.3190192382099156,-0.0005658398079701599,-0.011759564273198728,0.020644813101406832
