instrument,wedge_percent,region,factor_group,valid_parameter_configurations,median_utilisation_change_percentage_points,lower_quartile_utilisation_change_percentage_points,upper_quartile_utilisation_change_percentage_points
reuse_support,2.0,REU,Labour,729,-2.818311971575227e-5,-0.00021183407085123562,1.8691341585608257e-5
reuse_support,2.0,SK,Capital,729,-0.015615386334077996,-0.11149520375690614,-0.00028444141073613594
reuse_support,2.0,SK,Labour,729,-0.16782038967344537,-0.40905848575141235,-0.046651431904687346
virgin_metal_tax,0.25,DE,Capital,729,-4.883456784510187e-5,-8.900103966036355e-5,-1.0873438838210348e-5
virgin_metal_tax,0.25,DE,Labour,729,-5.8107139910834604e-5,-0.00013098381947962423,-2.734007423788043e-5
virgin_metal_tax,0.25,FR,Capital,729,-6.340072188359969e-5,-0.00011995546504994792,-3.324752858580027e-5
virgin_metal_tax,0.25,FR,Labour,729,-5.546732129158016e-5,-0.00010448232563575743,-3.0285222063497486e-5
virgin_metal_tax,0.25,IT,Capital,729,-9.36846672794367e-5,-0.0001702723076424384,-5.777101913517768e-5
virgin_metal_tax,0.25,IT,Labour,729,-5.098442997786279e-5,-0.00013451130180808235,-2.051929821611509e-5
virgin_metal_tax,0.25,PL,Capital,729,-0.000338296666624327,-0.000560551088246708,-0.00014964586441124084
virgin_metal_tax,0.25,PL,Labour,729,-7.110326177839355e-5,-0.00021097120955770876,-1.1398708232857047e-5
virgin_metal_tax,0.25,REU,Capital,729,-7.221381618238709e-5,-0.00010948780742037201,-3.831665892350955e-5
virgin_metal_tax,0.25,REU,Labour,729,-2.8178066713291372e-5,-5.986305176008955e-5,2.049230185541262e-6
virgin_metal_tax,0.25,SK,Capital,729,-0.0007577790006929597,-0.001440727073998005,-0.0003767718111280516
virgin_metal_tax,0.25,SK,Labour,729,-0.0026830167651481496,-0.006104324730760169,-0.0013306263212609082
virgin_metal_tax,0.5,DE,Capital,729,-3.345606798266232e-5,-0.00014214508500254297,1.253876830142886e-5
virgin_metal_tax,0.5,DE,Labour,729,-7.524352588772487e-5,-0.00024122394279846304,-2.6826202592644677e-6
virgin_metal_tax,0.5,FR,Capital,729,-0.00015139097320204797,-0.00043974801039459166,-6.038218225423719e-5
virgin_metal_tax,0.5,FR,Labour,729,-8.61902101245704e-5,-0.00018507627215225142,-2.9476859453314574e-5
virgin_metal_tax,0.5,IT,Capital,729,-0.00018743377586671883,-0.00037280463949240783,-9.3857086025384e-5
virgin_metal_tax,0.5,IT,Labour,729,-0.000147034832287396,-0.00033974071432796293,-4.5531768977369325e-5
virgin_metal_tax,0.5,PL,Capital,729,-0.00045563013063576463,-0.0008344530156967345,-0.00019985785539855527
virgin_metal_tax,0.5,PL,Labour,729,-0.00020066661646778172,-0.0004589267664334429,-4.057891881403819e-5
virgin_metal_tax,0.5,REU,Capital,729,-0.00030557462430413906,-0.0009050733194237992,-0.00012945686354015606
virgin_metal_tax,0.5,REU,Labour,729,-9.167505466978199e-5,-0.00038221625520140634,-6.94396287137522e-6
virgin_metal_tax,0.5,SK,Capital,729,-0.0027587993507660613,-0.04074757367835691,-0.001007460307711483
virgin_metal_tax,0.5,SK,Labour,729,-0.01771844367424169,-0.1256129608862122,-0.0049823292686212994
virgin_metal_tax,1.0,DE,Capital,729,-7.025371316915496e-5,-0.00041982172244159344,2.8323089795723178e-5
virgin_metal_tax,1.0,DE,Labour,729,-0.00010180804878023864,-0.0005266439811690837,4.564690038177943e-5
virgin_metal_tax,1.0,FR,Capital,729,-0.0003887148045333966,-0.0015285112197838124,-0.00012772775540570436
virgin_metal_tax,1.0,FR,Labour,729,-0.0001436029723911325,-0.0002981080300168415,-4.106271099812986e-5
virgin_metal_tax,1.0,IT,Capital,729,-0.0005097725088165639,-0.0011283941694029131,-0.00026177053661369243
virgin_metal_tax,1.0,IT,Labour,729,-0.00042711318293253697,-0.0007955927727842926,-0.00020430173065522084
virgin_metal_tax,1.0,PL,Capital,729,-0.0009039300998159305,-0.0019210293521143562,-0.0004385045733190651
