account_id	account_type	region	source_code	account_label
COM:IT:REF_OFMA	commodity	IT	REF_OFMA	IT commodity: Refurbishment route for OFMA
COM:IT:REF_RATV	commodity	IT	REF_RATV	IT commodity: Refurbishment route for RATV
COM:IT:REP_ELMA	commodity	IT	REP_ELMA	IT commodity: Repair activities linked to ELMA
COM:IT:REP_OFMA	commodity	IT	REP_OFMA	IT commodity: Repair activities linked to OFMA
COM:IT:REP_RATV	commodity	IT	REP_RATV	IT commodity: Repair activities linked to RATV
COM:IT:REU_ELMA	commodity	IT	REU_ELMA	IT commodity: Reuse route for ELMA
COM:IT:REU_OFMA	commodity	IT	REU_OFMA	IT commodity: Reuse route for OFMA
COM:IT:REU_RATV	commodity	IT	REU_RATV	IT commodity: Reuse route for RATV
COM:IT:TRADE	commodity	IT	TRADE	IT commodity: Trade services
COM:IT:TRANSPORT	commodity	IT	TRANSPORT	IT commodity: Transport and storage
COM:IT:UTIL_WASTE	commodity	IT	UTIL_WASTE	IT commodity: Utilities, water, and residual waste services
COM:PL:AGRI_FOOD	commodity	PL	AGRI_FOOD	PL commodity: Agriculture and food
COM:PL:BASIC_METALS	commodity	PL	BASIC_METALS	PL commodity: Basic metals
COM:PL:CONSTRUCTION	commodity	PL	CONSTRUCTION	PL commodity: Construction
COM:PL:EXTRACTIVE	commodity	PL	EXTRACTIVE	PL commodity: Extractive industries
COM:PL:INC_EE	commodity	PL	INC_EE	PL commodity: Incineration and disposal activities for CE-RISE chains
COM:PL:METAL_COMPONENTS	commodity	PL	METAL_COMPONENTS	PL commodity: Metal components and fabricated metals
COM:PL:NEW_ELMA	commodity	PL	NEW_ELMA	PL commodity: New CE-RISE electrical equipment
COM:PL:NEW_OFMA	commodity	PL	NEW_OFMA	PL commodity: New CE-RISE office machinery and computers
COM:PL:NEW_RATV	commodity	PL	NEW_RATV	PL commodity: New CE-RISE communication and consumer electronics
COM:PL:OTHER_MANUFACTURING	commodity	PL	OTHER_MANUFACTURING	PL commodity: Other manufacturing
COM:PL:OTHER_SERVICES	commodity	PL	OTHER_SERVICES	PL commodity: Other market services
COM:PL:PUBLIC_SOCIAL	commodity	PL	PUBLIC_SOCIAL	PL commodity: Public and social services
COM:PL:REC_EE	commodity	PL	REC_EE	PL commodity: Recycling and recovery activities for CE-RISE chains
COM:PL:REF_ELMA	commodity	PL	REF_ELMA	PL commodity: Refurbishment route for ELMA
COM:PL:REF_OFMA	commodity	PL	REF_OFMA	PL commodity: Refurbishment route for OFMA
COM:PL:REF_RATV	commodity	PL	REF_RATV	PL commodity: Refurbishment route for RATV
COM:PL:REP_ELMA	commodity	PL	REP_ELMA	PL commodity: Repair activities linked to ELMA
COM:PL:REP_OFMA	commodity	PL	REP_OFMA	PL commodity: Repair activities linked to OFMA
COM:PL:REP_RATV	commodity	PL	REP_RATV	PL commodity: Repair activities linked to RATV
COM:PL:REU_ELMA	commodity	PL	REU_ELMA	PL commodity: Reuse route for ELMA
COM:PL:REU_OFMA	commodity	PL	REU_OFMA	PL commodity: Reuse route for OFMA
COM:PL:REU_RATV	commodity	PL	REU_RATV	PL commodity: Reuse route for RATV
COM:PL:TRADE	commodity	PL	TRADE	PL commodity: Trade services
COM:PL:TRANSPORT	commodity	PL	TRANSPORT	PL commodity: Transport and storage
COM:PL:UTIL_WASTE	commodity	PL	UTIL_WASTE	PL commodity: Utilities, water, and residual waste services
COM:ROW:AGRI_FOOD	commodity	ROW	AGRI_FOOD	ROW commodity: Agriculture and food
COM:ROW:BASIC_METALS	commodity	ROW	BASIC_METALS	ROW commodity: Basic metals
COM:ROW:CONSTRUCTION	commodity	ROW	CONSTRUCTION	ROW commodity: Construction
COM:ROW:EXTRACTIVE	commodity	ROW	EXTRACTIVE	ROW commodity: Extractive industries
COM:ROW:INC_EE	commodity	ROW	INC_EE	ROW commodity: Incineration and disposal activities for CE-RISE chains
COM:ROW:METAL_COMPONENTS	commodity	ROW	METAL_COMPONENTS	ROW commodity: Metal components and fabricated metals
COM:ROW:NEW_ELMA	commodity	ROW	NEW_ELMA	ROW commodity: New CE-RISE electrical equipment
COM:ROW:NEW_OFMA	commodity	ROW	NEW_OFMA	ROW commodity: New CE-RISE office machinery and computers
COM:ROW:NEW_RATV	commodity	ROW	NEW_RATV	ROW commodity: New CE-RISE communication and consumer electronics
COM:ROW:OTHER_MANUFACTURING	commodity	ROW	OTHER_MANUFACTURING	ROW commodity: Other manufacturing
COM:ROW:OTHER_SERVICES	commodity	ROW	OTHER_SERVICES	ROW commodity: Other market services
COM:ROW:PUBLIC_SOCIAL	commodity	ROW	PUBLIC_SOCIAL	ROW commodity: Public and social services
COM:ROW:REC_EE	commodity	ROW	REC_EE	ROW commodity: Recycling and recovery activities for CE-RISE chains
COM:ROW:REF_ELMA	commodity	ROW	REF_ELMA	ROW commodity: Refurbishment route for ELMA
COM:ROW:REF_OFMA	commodity	ROW	REF_OFMA	ROW commodity: Refurbishment route for OFMA
COM:ROW:REF_RATV	commodity	ROW	REF_RATV	ROW commodity: Refurbishment route for RATV
COM:ROW:REP_ELMA	commodity	ROW	REP_ELMA	ROW commodity: Repair activities linked to ELMA
COM:ROW:REP_OFMA	commodity	ROW	REP_OFMA	ROW commodity: Repair activities linked to OFMA
COM:ROW:REP_RATV	commodity	ROW	REP_RATV	ROW commodity: Repair activities linked to RATV
COM:ROW:REU_ELMA	commodity	ROW	REU_ELMA	ROW commodity: Reuse route for ELMA
COM:ROW:REU_OFMA	commodity	ROW	REU_OFMA	ROW commodity: Reuse route for OFMA
COM:ROW:REU_RATV	commodity	ROW	REU_RATV	ROW commodity: Reuse route for RATV
COM:ROW:TRADE	commodity	ROW	TRADE	ROW commodity: Trade services
COM:ROW:TRANSPORT	commodity	ROW	TRANSPORT	ROW commodity: Transport and storage
COM:ROW:UTIL_WASTE	commodity	ROW	UTIL_WASTE	ROW commodity: Utilities, water, and residual waste services
COM:SK:AGRI_FOOD	commodity	SK	AGRI_FOOD	SK commodity: Agriculture and food
COM:SK:BASIC_METALS	commodity	SK	BASIC_METALS	SK commodity: Basic metals
COM:SK:CONSTRUCTION	commodity	SK	CONSTRUCTION	SK commodity: Construction
COM:SK:EXTRACTIVE	commodity	SK	EXTRACTIVE	SK commodity: Extractive industries
COM:SK:INC_EE	commodity	SK	INC_EE	SK commodity: Incineration and disposal activities for CE-RISE chains
