recycled_origin	destination_region	destination_activity	source_use_kind	source_use_target	allocated_value_meur	primary_metal_reduction_meur	allocation_weight
DE	DE	TRANSPORT	final	P3_S13	0.0012477786354764887	0.0012477786354764887	0.0002632231499406909
DE	DE	UTIL_WASTE	final	P3_S13	0.0021878472311802786	0.0021878472311802786	0.00046153381970703193
DE	DE	AGRI_FOOD	final	P3_S13	8.640993089318004e-5	8.640993089318004e-5	1.8228469016200625e-5
DE	DE	BASIC_METALS	final	P3_S13	0.011327352299289144	0.011327352299289144	0.002389543519927496
DE	DE	CONSTRUCTION	final	P3_S13	0.0007207460936051002	0.0007207460936051002	0.00015204384148934832
DE	DE	EXTRACTIVE	final	P3_S13	2.5307693214410283e-5	2.5307693214410283e-5	5.338744017752694e-6
DE	DE	METAL_COMPONENTS	final	P3_S13	0.0036289947122996077	0.0036289947122996077	0.0007655487857626597
DE	DE	NEW_ELMA	final	P3_S13	0.0006912584410919298	0.0006912584410919298	0.00014582332083112336
DE	DE	NEW_RATV	final	P3_S13	0.00014168254814715214	0.00014168254814715214	2.9888415745053607e-5
DE	DE	OTHER_MANUFACTURING	final	P3_S13	0.005996095140788501	0.005996095140788501	0.0012648966775262273
DE	DE	OTHER_SERVICES	final	P3_S13	0.0003907428020509595	0.0003907428020509595	8.242852397711487e-5
DE	DE	PUBLIC_SOCIAL	final	P3_S13	1.4690750258122003e-5	1.4690750258122003e-5	3.099063766593682e-6
DE	DE	REF_ELMA	final	P3_S13	1.2021384295880986e-5	1.2021384295880986e-5	2.5359519317310608e-6
DE	DE	REF_RATV	final	P3_S13	8.32519163858152e-6	8.32519163858152e-6	1.7562275107639647e-6
