table	row_region	row_sector	column_region	column_code	original_value_meur	constructed_value_meur	balanced_value_meur	change_from_original_meur	balancing_adjustment_meur
intermediate	DE	AGRI_FOOD	SK	OTHER_SERVICES	17.884197273766837	17.884197273766837	17.884197288344733	1.457789622349992e-8	1.457789622349992e-8
intermediate	DE	AGRI_FOOD	SK	PUBLIC_SOCIAL	4.185820955467278	4.185820955467278	4.1858214890787355	5.336114572429551e-7	5.336114572429551e-7
intermediate	DE	AGRI_FOOD	SK	TRADE	4.734227854922308	4.734227854922308	4.734227892891585	3.796927749988299e-8	3.796927749988299e-8
intermediate	DE	BASIC_METALS	DE	AGRI_FOOD	192.27363606508226	191.81848788568064	191.81848788568064	-0.45514817940161834	0.0
intermediate	DE	BASIC_METALS	DE	BASIC_METALS	14678.579115992006	14643.83213404704	14643.83213404704	-34.74698194496705	0.0
intermediate	DE	BASIC_METALS	DE	CONSTRUCTION	1598.8451150534204	1595.0603452942662	1595.0603452942662	-3.7847697591541873	0.0
intermediate	DE	BASIC_METALS	DE	EXTRACTIVE	49.59971436733572	49.48230243216281	49.48230243216281	-0.11741193517291038	0.0
intermediate	DE	BASIC_METALS	DE	INC_EE	0.0838322808935719	0.0836338339779954	0.0836338339779954	-0.0001984469155765084	0.0
intermediate	DE	BASIC_METALS	DE	METAL_COMPONENTS	7603.054095266574	7585.056223586542	7585.056223586542	-17.997871680032404	0.0
intermediate	DE	BASIC_METALS	DE	NEW_ELMA	1698.8763758562936	1694.8548131224527	1694.8548131224527	-4.021562733840938	0.0
intermediate	DE	BASIC_METALS	DE	NEW_OFMA	0.0007163265941707746	0.0007146309132034503	0.0007146309132034503	-1.695680967324321e-6	0.0
